France, Total Population,  Exposures (Lexis triangle)	Last modified: 13 Sep 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1818   28      1789   118572.28    96726.20   215298.48
 1818   29      1789   117628.14    95931.96   213560.10
 1818   29      1788   117980.93    96232.73   214213.65
 1818   30      1788   117122.41    95527.01   212649.42
 1818   30      1787   118067.62    96308.84   214376.46
 1818   31      1787   117416.66    95779.60   213196.26
 1818   31      1786   119525.18    97522.04   217047.22
 1818   32      1786   119241.08    97304.21   216545.29
 1818   32      1785   110081.17    99478.58   209559.74
 1818   33      1785   109385.92    98815.74   208201.66
 1818   33      1784   109392.48    98885.91   208278.40
 1818   34      1784   108704.48    98238.08   206942.56
 1818   34      1783   108647.68    98252.57   206900.25
 1818   35      1783   107906.10    97567.16   205473.26
 1818   35      1782   107520.41    97282.30   204802.71
 1818   36      1782   106650.06    96480.35   203130.41
 1818   36      1781   105924.14    95890.31   201814.44
 1818   37      1781   104989.33    95033.88   200023.21
 1818   37      1780   103988.47    94870.56   198859.03
 1818   38      1780   103366.27    94366.29   197732.57
 1818   38      1779   102217.71    93302.75   195520.46
 1818   39      1779   101468.40    92672.74   194141.14
 1818   39      1778    99888.02    91210.33   191098.36
 1818   40      1778    99023.04    90463.17   189486.21
 1818   40      1777    97059.68    88643.81   185703.48
 1818   41      1777    96089.94    87778.25   183868.19
 1818   41      1776    93662.43    85530.78   179193.20
 1818   42      1776    92536.18    84505.32   177041.50
 1818   42      1775    97494.73    82012.00   179506.74
 1818   43      1775    96293.03    80986.52   177279.54
 1818   43      1774    93584.91    78670.30   172255.20
 1818   44      1774    92518.06    77757.33   170275.38
 1818   44      1773    90545.08    76071.47   166616.55
 1818   45      1773    89674.51    75333.11   165007.62
 1818   45      1772    88430.61    74278.86   162709.47
 1818   46      1772    87698.48    73666.11   161364.60
 1818   46      1771    86701.71    72840.72   159542.43
 1818   47      1771    85919.46    72195.27   158114.73
 1818   47      1770    83410.46    71154.40   154564.86
 1818   48      1770    82565.89    70371.51   152937.40
 1818   48      1769    83485.80    71290.29   154776.09
 1818   49      1769    82587.78    70467.33   153055.11
 1818   49      1768    83305.71    71213.16   154518.88
 1818   50      1768    82304.94    70303.91   152608.85
 1818   50      1767    82776.51    70833.31   153609.82
 1818   51      1767    81692.08    69857.60   151549.67
 1818   51      1766    82087.16    70310.73   152397.89
 1818   52      1766    80986.63    69324.12   150310.76
 1818   52      1765    76539.40    69941.35   146480.76
 1818   53      1765    75509.20    68919.91   144429.11
 1818   53      1764    75077.18    68649.67   143726.86
 1818   54      1764    74031.34    67611.32   141642.66
 1818   54      1763    73676.96    67383.75   141060.71
 1818   55      1763    72636.35    66343.54   138979.88
 1818   55      1762    72307.51    66108.14   138415.65
 1818   56      1762    71222.41    65021.84   136244.26
 1818   56      1761    70657.08    64533.62   135190.69
 1818   57      1761    69429.44    63311.59   132741.03
 1818   57      1760    66608.54    62794.00   129402.55
 1818   58      1760    65534.74    61725.76   127260.50
 1818   58      1759    65249.97    61397.04   126647.01
 1818   59      1759    64077.85    60243.46   124321.31
 1818   59      1758    63545.06    59689.99   123235.05
 1818   60      1758    62258.63    58439.31   120697.95
 1818   60      1757    61460.17    57658.53   119118.70
 1818   61      1757    60061.48    56323.51   116384.99
 1818   61      1756    58824.62    55145.83   113970.45
 1818   62      1756    57232.89    53642.66   110875.55
 1818   62      1755    55540.60    52371.23   107911.83
 1818   63      1755    54211.93    51106.48   105318.41
 1818   63      1754    52923.63    49903.95   102827.59
 1818   64      1754    51538.17    48590.15   100128.32
 1818   64      1753    50119.13    47247.23    97366.36
 1818   65      1753    48679.47    45880.02    94559.49
 1818   65      1752    47139.76    44397.14    91536.89
 1818   66      1752    45646.47    42982.62    88629.09
 1818   66      1751    44079.55    41444.05    85523.60
 1818   67      1751    42562.72    40012.46    82575.18
 1818   67      1750    41261.31    38560.09    79821.40
 1818   68      1750    39832.06    37172.84    77004.90
 1818   68      1749    38176.00    35594.32    73770.32
