Year,Age,Cohort,Country,Sex,TL_Deaths,TU_Deaths_Next_Year,Deaths,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1908,85,1823,fin,m,64.06,56.5,120.56,5466.0199999999995,93.61,90.76,5466.969999999999
1908,85,1823,nor,f,141.5,110,251.5,7905.700000000002,90.59,92.44,7905.083333333335
1908,85,1823,nor,m,103,95,198,5466.0199999999995,64.06,56.5,5468.54
1908,85,1823,swe,f,302,342,644,7905.700000000002,141.5,110,7916.200000000002
1908,85,1823,swe,m,257,261,518,5466.0199999999995,103,95,5468.6866666666665
1909,85,1824,dnk,f,106.5,114.95,221.45,7652.699999999999,302,342,7639.366666666666
1909,85,1824,dnk,m,86.26,88.34,174.60000000000002,5392.830000000001,257,261,5391.496666666668
1909,85,1824,fin,f,84.56,86.77,171.32999999999998,7652.699999999999,106.5,114.95,7649.883333333332
1909,85,1824,fin,m,53.5,57.05,110.55,5392.830000000001,86.26,88.34,5392.136666666667
1909,85,1824,nor,f,127,117.5,244.5,7652.699999999999,84.56,86.77,7651.963333333332
1909,85,1824,nor,m,107.5,100.5,208,5392.830000000001,53.5,57.05,5391.646666666667
1909,85,1824,swe,f,271,352,623,7652.699999999999,127,117.5,7655.866666666666
1909,85,1824,swe,m,248,259,507,5392.830000000001,107.5,100.5,5395.163333333334
1910,85,1825,dnk,f,105.71,117.07,222.77999999999997,7957.860000000002,271,352,7930.860000000002
1910,85,1825,dnk,m,83.91,89.55,173.45999999999998,5627.1100000000015,248,259,5623.4433333333345
1910,85,1825,fin,f,79.23,96.09,175.32,7957.860000000002,105.71,117.07,7954.0733333333355
1910,85,1825,fin,m,53.95,44.7,98.65,5627.1100000000015,83.91,89.55,5625.230000000001
1910,85,1825,nor,f,130.5,121,251.5,7957.860000000002,79.23,96.09,7952.2400000000025
1910,85,1825,nor,m,125.5,107,232.5,5627.1100000000015,53.95,44.7,5630.1933333333345
1910,85,1825,swe,f,268,360,628,7957.860000000002,130.5,121,7961.026666666669
1910,85,1825,swe,m,245,251,496,5627.1100000000015,125.5,107,5633.2766666666685
1911,85,1826,dnk,f,107.47,121.88,229.35,8027.880000000002,268,360,7997.213333333335
1911,85,1826,dnk,m,84.97,92.27,177.24,5562.71,245,251,5560.71
1911,85,1826,fin,f,87.91,112.69,200.6,8027.880000000002,107.47,121.88,8023.076666666669
1911,85,1826,fin,m,42.3,58.54,100.84,5562.71,84.97,92.27,5560.276666666667
1911,85,1826,nor,f,129,128.5,257.5,8027.880000000002,87.91,112.69,8019.620000000002
1911,85,1826,nor,m,119,115.5,234.5,5562.71,42.3,58.54,5557.296666666667
1911,85,1826,swe,f,300,351,651,8027.880000000002,129,128.5,8028.046666666669
1911,85,1826,swe,m,249,264,513,5562.71,119,115.5,5563.876666666667
1912,85,1827,dnk,f,112.68,124.51,237.19,7616.539999999998,300,351,7599.539999999998
1912,85,1827,dnk,m,87.81,88.01,175.82,5314.7300000000005,249,264,5309.7300000000005
1912,85,1827,fin,f,103.31,90.29,193.60000000000002,7616.539999999998,112.68,124.51,7612.5966666666645
1912,85,1827,fin,m,55.46,67.79,123.25,5314.7300000000005,87.81,88.01,5314.663333333334
1912,85,1827,nor,f,132.5,128.5,261,7616.539999999998,103.31,90.29,7620.879999999998
1912,85,1827,nor,m,102,110,212,5314.7300000000005,55.46,67.79,5310.620000000001
1912,85,1827,swe,f,317,310,627,7616.539999999998,132.5,128.5,7617.873333333331
1912,85,1827,swe,m,283,238,521,5314.7300000000005,102,110,5312.0633333333335
1913,85,1828,dnk,f,115.05,114.16,229.20999999999998,7738.2300000000005,317,310,7740.5633333333335
