Year,Age,Sex,Deaths,TL_Deaths,TU_Deaths_Next_Year,Cohort,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1959,84,m,5461,2524,2937,1875,31767,2567,2657,31737
1960,84,f,8328,4153,4175,1876,65588,3891,4534,65373.666666666664
1960,84,m,5280,2653,2627,1876,33037,2524,2937,32899.333333333336
1961,84,f,9051,4163,4888,1877,67708,4153,4175,67700.66666666667
1961,84,m,5682,2697,2985,1877,33328,2653,2627,33336.666666666664
1962,84,f,9521,4428,5093,1878,67921,4163,4888,67679.33333333333
1962,84,m,5887,2738,3149,1878,32598,2697,2985,32502
1963,84,f,8657,4270,4387,1879,69125,4428,5093,68903.33333333333
1963,84,m,5246,2621,2625,1879,32750,2738,3149,32613
1964,84,f,8899,4248,4651,1880,69818,4270,4387,69779
1964,84,m,5258,2557,2701,1880,31862,2621,2625,31860.666666666668
1965,84,f,8892,4301,4591,1881,73431,4248,4651,73296.66666666667
1965,84,m,5232,2586,2646,1881,33093,2557,2701,33045
1966,84,f,9124,4346,4778,1882,76340,4301,4591,76243.33333333333
1966,84,m,5163,2524,2639,1882,33296,2586,2646,33276
1967,84,f,9633,4586,5047,1883,77131,4346,4778,76987
1967,84,m,5581,2752,2829,1883,33777,2524,2639,33738.666666666664
1968,84,f,9414,4577,4837,1884,79874,4586,5047,79720.33333333333
1968,84,m,5314,2625,2689,1884,34540,2752,2829,34514.333333333336
1969,84,f,9869,4943,4926,1885,81982,4577,4837,81895.33333333333
1969,84,m,5673,2891,2782,1885,35372,2625,2689,35350.666666666664
1970,84,f,9665,4623,5042,1886,82370,4943,4926,82375.66666666667
1970,84,m,5365,2577,2788,1886,34558,2891,2782,34594.333333333336
1971,84,f,9790,4845,4945,1887,85306,4623,5042,85166.33333333333
1971,84,m,5314,2634,2680,1887,35715,2577,2788,35644.666666666664
1972,84,f,10137,4876,5261,1888,87434,4845,4945,87400.66666666667
1972,84,m,5599,2762,2837,1888,36393,2634,2680,36377.666666666664
1973,84,f,9801,4880,4921,1889,89077,4876,5261,88948.66666666667
1973,84,m,5442,2798,2644,1889,36620,2762,2837,36595
1974,84,f,10289,5323,4966,1890,88333,4880,4921,88319.33333333333
1974,84,m,5465,2819,2646,1890,35598,2798,2644,35649.333333333336
1975,84,f,10520,5234,5286,1891,93202,5323,4966,93321
1975,84,m,5584,2869,2715,1891,37100,2819,2646,37157.666666666664
1976,84,f,9996,4981,5015,1892,93052,5234,5286,93034.66666666667
1976,84,m,5125,2599,2526,1892,35564,2869,2715,35615.333333333336
1977,84,f,10370,5000,5370,1893,100003,4981,5015,99991.66666666667
1977,84,m,5497,2686,2811,1893,37755,2599,2526,37779.333333333336
1978,84,f,10470,5129,5341,1894,102162,5000,5370,102038.66666666667
1978,84,m,5528,2790,2738,1894,38063,2686,2811,38021.333333333336
1979,84,f,10267,5203,5064,1895,101810,5129,5341,101739.33333333333
1979,84,m,5301,2704,2597,1895,38043,2790,2738,38060.333333333336
1980,84,f,11546,5680,5866,1896,111286,5203,5064,111332.33333333333
1980,84,m,6504,3236,3268,1896,44746,2704,2597,44781.666666666664
1981,84,f,11060,5590,5470,1897,112089,5680,5866,112027
1981,84,m,6474,3212,3262,1897,46649,3236,3268,46638.333333333336
1982,84,f,11051,5324,5727,1898,112075,5590,5470,112115
1982,84,m,6976,3404,3572,1898,48523,3212,3262,48506.333333333336
1983,84,f,11385,5734,5651,1899,117335,5324,5727,117200.66666666667
1983,84,m,7326,3681,3645,1899,52226,3404,3572,52170
1984,84,f,11352,5508,5844,1900,119344,5734,5651,119371.66666666667
1984,84,m,7451,3647,3804,1900,53926,3681,3645,53938
1985,84,f,11912,5806,6106,1901,129468,5508,5844,129356
1985,84,m,8040,3967,4073,1901,58258,3647,3804,58205.666666666664
1986,84,f,11541,5763,5778,1902,131720,5806,6106,131620
1986,84,m,7968,4060,3908,1902,60198,3967,4073,60162.666666666664
1987,84,f,11003,5516,5487,1903,131923,5763,5778,131918
1987,84,m,7691,3878,3813,1903,60451,4060,3908,60501.666666666664
1988,84,f,11141,5602,5539,1904,135209,5516,5487,135218.66666666666
1988,84,m,7494,3817,3677,1904,61574,3878,3813,61595.666666666664
1989,84,f,11627,5890,5737,1905,137748,5602,5539,137769
1989,84,m,8089,4104,3985,1905,64240,3817,3677,64286.666666666664
1990,84,f,11025,5480,5545,1906,141623,5890,5737,141674
1990,84,m,7844,4029,3815,1906,65954,4104,3985,65993.66666666667
1958,85,f,7173,3472,3701,1873,49982,3626,3870,49900.666666666664
1958,85,m,4399,2154,2245,1873,24305,2374,2373,24305.333333333332
1959,85,f,7838,3595,4243,1874,52703,3472,3701,52626.666666666664
1959,85,m,4754,2210,2544,1874,25789,2154,2245,25758.666666666668
1960,85,f,7597,3817,3780,1875,54456,3595,4243,54240
1960,85,m,4654,2346,2308,1875,26306,2210,2544,26194.666666666668
1961,85,f,8354,3830,4524,1876,57260,3817,3780,57272.333333333336
1961,85,m,5245,2494,2751,1876,27757,2346,2308,27769.666666666668
1962,85,f,8989,4081,4908,1877,58657,3830,4524,58425.666666666664
1962,85,m,5370,2514,2856,1877,27646,2494,2751,27560.333333333332
1963,85,f,8147,4030,4117,1878,58400,4081,4908,58124.333333333336
1963,85,m,4637,2348,2289,1878,26711,2514,2856,26597
1964,85,f,8292,3821,4471,1879,60468,4030,4117,60439
