Year,Age,Sex,Deaths,TL_Deaths,TU_Deaths_Next_Year,Cohort,Country,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
2002,97,f,594,294,300,1905,swe,1880,280,274,1882
2002,97,m,155,87,68,1905,swe,437,87,79,439.6666666666667
2002,97,f,288,148,140,1905,dnk,961,148,162,956.3333333333334
2002,97,m,71,34,37,1905,dnk,215,37,38,214.66666666666666
2002,97,f,196,99,97,1905,fin,557,91,97,555
2002,97,m,54,32,22,1905,fin,132,31,31,132
2003,97,f,577,295,282,1906,swe,1998,294,300,1996
2003,97,m,170,98,72,1906,swe,477,87,68,483.3333333333333
2003,97,f,281,144,137,1906,dnk,1018,148,140,1020.6666666666666
2003,97,m,87,43,44,1906,dnk,226,34,37,225
2003,97,f,216,93,123,1906,fin,685,99,97,685.6666666666666
2003,97,m,49,22,27,1906,fin,135,32,22,138.33333333333334
1913,98,f,15,9,6,1815,swe,21,9,10,20.666666666666668
1913,98,m,5,1,4,1815,swe,5,2,3,4.666666666666667
1914,98,f,20,11,9,1816,swe,31,9,6,32
1915,98,f,11,7,4,1817,swe,26,11,9,26.666666666666668
1916,98,f,20,10,10,1818,swe,32,7,4,33
1916,98,m,8,5,3,1818,swe,12,1,4,11
1917,98,f,14,8,6,1819,swe,31,10,10,31
1917,98,m,8,4,4,1819,swe,13,5,3,13.666666666666666
1918,98,f,17,7,10,1820,swe,31,8,6,31.666666666666668
1918,98,m,6,3,3,1820,swe,11,4,4,11
1919,98,f,26,10,16,1821,swe,49,7,10,48
1919,98,m,11,6,5,1821,swe,18,3,3,18
1919,98,f,4,3,1,1821,fin,4,319,258,24.333333333333332
1920,98,f,24,11,13,1822,swe,55,10,16,53
1920,98,m,18,8,10,1822,swe,28,6,5,28.333333333333332
1921,98,f,18,9,9,1823,swe,40,11,13,39.333333333333336
1921,98,m,7,4,3,1823,swe,7,8,10,6.333333333333333
1921,98,f,6.019138477547704,4.013188518231187,2.0059499593165175,1823,dnk,9.027033441335046,228,218,12.360366774668378
1921,98,m,1.0032971295577968,1.0032971295577968,0,1823,dnk,3.008732101280597,75,88,0
1922,98,f,21,12,9,1824,swe,42,9,9,42
1922,98,m,9,7,2,1824,swe,9,4,3,9.333333333333334
1922,98,f,7.018249919639226,2.0059499593165175,5.012299960322709,1824,dnk,9.022656409323254,4.013188518231187,2.0059499593165175,9.691735928961478
1922,98,m,2.0054349717228,1.0029749796582588,1.0024599920645416,1824,dnk,4.010354955851883,1.0032971295577968,0,4.3447873323711494
1922,98,f,2,1,1,1824,fin,2,3,1,2.6666666666666665
1923,98,f,18,10,8,1825,swe,48,12,9,49
1923,98,m,14,8,6,1825,swe,18,7,2,19.666666666666668
1923,98,f,9.019572456355597,4.0098399682581665,5.00973248809743,1825,dnk,13.027358446833542,2.0059499593165175,5.012299960322709,12.025241779831479
1923,98,m,6.013732963497139,4.0098399682581665,2.003892995238972,1825,dnk,6.013732963497139,1.0029749796582588,1.0024599920645416,6.013904626028378
1924,98,f,29,19,10,1826,swe,49,10,8,49.666666666666664
1924,98,m,16,11,5,1826,swe,19,8,6,19.666666666666668
1924,98,f,8.016650595861242,3.005839492858458,5.0108111030027835,1826,dnk,11.022394782034091,4.0098399682581665,5.00973248809743,10.689097275421004
1924,98,m,1.0021622206005567,0,1.0021622206005567,1826,dnk,3.00500171054403,4.0098399682581665,2.003892995238972,3.673650701550428
1925,98,f,15,11,4,1827,swe,39,19,10,42
1925,98,m,12,8,4,1827,swe,20,11,5,22
1925,98,f,5.010068627373963,4.008648882402227,1.0014197449717366,1827,dnk,11.01848832327098,3.005839492858458,5.0108111030027835,10.35016445322287
1925,98,m,5.010068627373963,4.008648882402227,1.0014197449717366,1827,dnk,7.012809343384033,0,1.0021622206005567,6.678755269850514
1925,98,f,4,2,2,1827,fin,9,1,1,9
1926,98,f,18,7,11,1828,swe,47,11,4,49.333333333333336
1926,98,m,7,5,2,1828,swe,15,8,4,16.333333333333332
1926,98,f,7.009543119068542,3.0042592349152097,4.005283884153332,1828,dnk,12.016264509295988,4.008648882402227,1.0014197449717366,13.018674221772818
1926,98,m,4.005382658086736,1.0014197449717366,3.003962913114999,1828,dnk,4.005382658086736,4.008648882402227,1.0014197449717366,5.007792370563566
1927,98,f,22,13,9,1829,swe,53,7,11,51.666666666666664
1927,98,m,11,6,5,1829,swe,22,5,2,23
1927,98,f,3.003962913114999,3.003962913114999,0,1829,dnk,8.010179736288741,3.0042592349152097,4.005283884153332,7.676504853209367
1927,98,m,0,0,0,1829,dnk,1.0013792385562235,1.0014197449717366,3.003962913114999,0.3338648491751359
1928,98,f,26,12,14,1830,swe,70,13,9,71.33333333333333
1928,98,m,15,10,5,1830,swe,28,6,5,28.333333333333332
1928,98,f,6.007256376926277,3.0041377156686706,3.0031186612576066,1830,dnk,10.012064713424158,3.003962913114999,0,11.013385684462492
1928,98,m,2.0024187923087586,1.0013792385562235,1.0010395537525354,1830,dnk,3.003783406805163,0,0,3.003783406805163
1929,98,f,21,9,12,1831,swe,45,12,14,44.333333333333336
1929,98,m,6,5,1,1831,swe,13,10,5,14.666666666666666
1929,98,f,5.005522829506546,4.004158215010142,1.0013646144964048,1831,dnk,11.011474371982192,3.0041377156686706,3.0031186612576066,11.01181405678588
1929,98,m,4.0051333972417495,1.0010395537525354,3.004093843489214,1831,dnk,5.006498011738154,1.0013792385562235,1.0010395537525354,5.00661124000605
1929,98,f,4,2,2,1831,fin,4,2,2,4
1930,98,f,28,10,18,1832,swe,54,9,12,53
1930,98,m,11,5,6,1832,swe,17,5,1,18.333333333333332
1930,98,f,7.00508001246927,3.004093843489214,4.000986168980055,1832,dnk,10.005699076449837,4.004158215010142,1.0013646144964048,11.006630276621083
1930,98,m,2.0016111567414185,1.0013646144964048,1.0002465422450137,1832,dnk,5.00210965796751,1.0010395537525354,3.004093843489214,4.33442489472195
1930,98,f,1,1,0,1832,fin,2,2,2,2
1930,98,m,1,1,0,1832,fin,1,109,68,14.666666666666666
1931,98,f,33,16,17,1833,swe,60,10,18,57.333333333333336
1931,98,m,12,8,4,1833,swe,17,5,6,16.666666666666668
1931,98,f,5.000991585716118,3.000739626735041,2.0002519589810777,1833,dnk,9.001500161173679,3.004093843489214,4.000986168980055,8.6692027193434
1931,98,m,1.0002465422450137,1.0002465422450137,0,1833,dnk,2.0003771792309575,1.0013646144964048,1.0002465422450137,2.000749869981421
1931,98,f,4,2,2,1833,fin,7,1,0,7.333333333333333
1931,98,m,2,2,0,1833,fin,7,1,0,7.333333333333333
1932,98,f,19,11,8,1834,swe,55,16,17,54.666666666666664
1932,98,m,15,5,10,1834,swe,29,8,4,30.333333333333332
1932,98,f,11.001423034359165,3.0003779384716167,8.001045095887548,1834,dnk,14.001814945316996,3.000739626735041,2.0002519589810777,14.335310834568316
1932,98,m,1.0001259794905388,1.0001259794905388,0,1834,dnk,4.00051868023143,1.0002465422450137,0,4.333934194313101
1932,98,f,4,2,2,1834,fin,6,2,2,6
