Year,Sex,Age,AgeInterval,Lexis,Deaths
1765,f,50,5,RR,1077
1765,f,55,5,RR,990
1765,f,60,5,RR,1483
1765,f,65,5,RR,1404
1765,f,70,5,RR,1669
1765,f,75,5,RR,1432
1765,f,80,5,RR,1305
1765,f,85,5,RR,600
1765,f,90,+,RR,273
1765,m,0,1,RR,7573
1765,m,1,2,RR,2338
1765,m,3,2,RR,1135
1765,m,5,5,RR,1259
1765,m,10,5,RR,697
1765,m,15,5,RR,636
1765,m,20,5,RR,696
1765,m,25,5,RR,773
1765,m,30,5,RR,869
1765,m,35,5,RR,859
1765,m,40,5,RR,1162
1765,m,45,5,RR,1060
1765,m,50,5,RR,1226
1765,m,55,5,RR,1021
1765,m,60,5,RR,1354
1765,m,65,5,RR,1202
1765,m,70,5,RR,1216
1765,m,75,5,RR,975
1765,m,80,5,RR,802
1765,m,85,5,RR,382
1765,m,90,+,RR,147
1766,f,0,1,RR,6412
1766,f,1,2,RR,2144
1766,f,3,2,RR,1036
1766,f,5,5,RR,1013
1766,f,10,5,RR,553
1766,f,15,5,RR,467
1766,f,20,5,RR,536
1766,f,25,5,RR,629
1766,f,30,5,RR,872
1766,f,35,5,RR,693
1766,f,40,5,RR,911
1766,f,45,5,RR,793
1766,f,50,5,RR,862
1766,f,55,5,RR,863
1766,f,60,5,RR,1198
1766,f,65,5,RR,1240
1766,f,70,5,RR,1521
1766,f,75,5,RR,1271
1766,f,80,5,RR,1125
1766,f,85,5,RR,513
1766,f,90,+,RR,307
1766,m,0,1,RR,7583
1766,m,1,2,RR,2274
1766,m,3,2,RR,988
1766,m,5,5,RR,1077
1766,m,10,5,RR,580
1766,m,15,5,RR,567
1766,m,20,5,RR,671
1766,m,25,5,RR,648
1766,m,30,5,RR,717
1766,m,35,5,RR,763
1766,m,40,5,RR,863
1766,m,45,5,RR,910
1766,m,50,5,RR,1047
1766,m,55,5,RR,997
1766,m,60,5,RR,1054
1766,m,65,5,RR,1058
1766,m,70,5,RR,977
1766,m,75,5,RR,833
1766,m,80,5,RR,708
1766,m,85,5,RR,319
1766,m,90,+,RR,133
1767,f,0,1,RR,6332
1767,f,1,2,RR,1824
1767,f,3,2,RR,940
1767,f,5,5,RR,826
1767,f,10,5,RR,553
1767,f,15,5,RR,500
1767,f,20,5,RR,576
1767,f,25,5,RR,719
1767,f,30,5,RR,957
1767,f,35,5,RR,773
1767,f,40,5,RR,1000
1767,f,45,5,RR,823
1767,f,50,5,RR,933
1767,f,55,5,RR,942
1767,f,60,5,RR,1265
1767,f,65,5,RR,1430
1767,f,70,5,RR,1618
1767,f,75,5,RR,1418
1767,f,80,5,RR,1243
1767,f,85,5,RR,602
1767,f,90,+,RR,257
1767,m,0,1,RR,7726
1767,m,1,2,RR,2000
1767,m,3,2,RR,958
1767,m,5,5,RR,853
1767,m,10,5,RR,593
1767,m,15,5,RR,599
1767,m,20,5,RR,700
1767,m,25,5,RR,754
1767,m,30,5,RR,905
1767,m,35,5,RR,785
1767,m,40,5,RR,950
1767,m,45,5,RR,1044
1767,m,50,5,RR,1089
1767,m,55,5,RR,1050
1767,m,60,5,RR,1189
1767,m,65,5,RR,1246
1767,m,70,5,RR,1089
1767,m,75,5,RR,857
1767,m,80,5,RR,748
1767,m,85,5,RR,417
1767,m,90,+,RR,189
1768,f,0,1,RR,6930
1768,f,1,2,RR,2875
1768,f,3,2,RR,1902
1768,f,5,5,RR,1456
1768,f,10,5,RR,656
1768,f,15,5,RR,605
1768,f,20,5,RR,569
1768,f,25,5,RR,663
1768,f,30,5,RR,832
1768,f,35,5,RR,728
1768,f,40,5,RR,899
1768,f,45,5,RR,700
1768,f,50,5,RR,866
1768,f,55,5,RR,843
1768,f,60,5,RR,1165
1768,f,65,5,RR,1355
1768,f,70,5,RR,1526
1768,f,75,5,RR,1168
1768,f,80,5,RR,1021
1768,f,85,5,RR,508
1768,f,90,+,RR,282
1768,m,0,1,RR,7936
1768,m,1,2,RR,3024
1768,m,3,2,RR,1943
1768,m,5,5,RR,1428
1768,m,10,5,RR,688
1768,m,15,5,RR,608
1768,m,20,5,RR,726
1768,m,25,5,RR,688
1768,m,30,5,RR,714
1768,m,35,5,RR,682
1768,m,40,5,RR,871
1768,m,45,5,RR,803
1768,m,50,5,RR,928
1768,m,55,5,RR,883
1768,m,60,5,RR,966
1768,m,65,5,RR,1217
1768,m,70,5,RR,1077
1768,m,75,5,RR,851
1768,m,80,5,RR,666
1768,m,85,5,RR,335
1768,m,90,+,RR,168
1769,f,0,1,RR,6918
1769,f,1,2,RR,3319
1769,f,3,2,RR,1768
1769,f,5,5,RR,1601
1769,f,10,5,RR,670
1769,f,15,5,RR,648
1769,f,20,5,RR,661
1769,f,25,5,RR,688
